hidden_index,encoder_layer,cls_norm,token_micro_mean_abs,token_micro_max_abs,sentence_macro_mean_abs
0,,10.430501937866211,0.44283032417297363,7.642148494720459,0.10304675251245499
1,0.0,10.852907180786133,0.5240980386734009,10.504949569702148,0.1430545300245285
2,1.0,12.695457458496094,0.4953787326812744,12.089510917663574,0.1462845653295517
3,2.0,14.162851333618164,0.46154412627220154,13.881895065307617,0.13693596422672272
4,3.0,12.491116523742676,0.47708776593208313,14.109793663024902,0.16423209011554718
5,4.0,11.945780754089355,0.4654810428619385,14.931002616882324,0.17141179740428925
6,5.0,10.247820854187012,0.45990002155303955,16.026409149169922,0.176484152674675
7,6.0,10.778498649597168,0.47022467851638794,12.19651985168457,0.18420006334781647
8,7.0,11.575350761413574,0.46226975321769714,11.488157272338867,0.17604945600032806
9,8.0,13.123279571533203,0.4646763801574707,13.041242599487305,0.18535949289798737
10,9.0,12.24481201171875,0.4580994248390198,12.130420684814453,0.17702531814575195
11,10.0,10.587512969970703,0.4466015100479126,10.417953491210938,0.17781150341033936
12,11.0,20.428112030029297,0.5488417744636536,13.470599174499512,0.2776327431201935
