status,key,metric_or_ref_shape,candidate_shape,note
matched,encoder.layer.5.attention.output.LayerNorm.weight,,,
matched,encoder.layer.5.attention.output.dense.bias,,,
matched,encoder.layer.5.attention.output.dense.weight,,,
matched,encoder.layer.5.attention.self.key.bias,,,
matched,encoder.layer.5.attention.self.key.weight,,,
matched,encoder.layer.5.attention.self.query.bias,,,
matched,encoder.layer.5.attention.self.query.weight,,,
matched,encoder.layer.5.attention.self.value.bias,,,
matched,encoder.layer.5.attention.self.value.weight,,,
matched,encoder.layer.5.intermediate.dense.bias,,,
matched,encoder.layer.5.intermediate.dense.weight,,,
matched,encoder.layer.5.output.LayerNorm.bias,,,
matched,encoder.layer.5.output.LayerNorm.weight,,,
matched,encoder.layer.5.output.dense.bias,,,
matched,encoder.layer.5.output.dense.weight,,,
matched,encoder.layer.6.attention.output.LayerNorm.bias,,,
matched,encoder.layer.6.attention.output.LayerNorm.weight,,,
matched,encoder.layer.6.attention.output.dense.bias,,,
matched,encoder.layer.6.attention.output.dense.weight,,,
matched,encoder.layer.6.attention.self.key.bias,,,
matched,encoder.layer.6.attention.self.key.weight,,,
matched,encoder.layer.6.attention.self.query.bias,,,
matched,encoder.layer.6.attention.self.query.weight,,,
matched,encoder.layer.6.attention.self.value.bias,,,
matched,encoder.layer.6.attention.self.value.weight,,,
matched,encoder.layer.6.intermediate.dense.bias,,,
matched,encoder.layer.6.intermediate.dense.weight,,,
matched,encoder.layer.6.output.LayerNorm.bias,,,
matched,encoder.layer.6.output.LayerNorm.weight,,,
matched,encoder.layer.6.output.dense.bias,,,
matched,encoder.layer.6.output.dense.weight,,,
matched,encoder.layer.7.attention.output.LayerNorm.bias,,,
matched,encoder.layer.7.attention.output.LayerNorm.weight,,,
matched,encoder.layer.7.attention.output.dense.bias,,,
matched,encoder.layer.7.attention.output.dense.weight,,,
matched,encoder.layer.7.attention.self.key.bias,,,
matched,encoder.layer.7.attention.self.key.weight,,,
matched,encoder.layer.7.attention.self.query.bias,,,
matched,encoder.layer.7.attention.self.query.weight,,,
matched,encoder.layer.7.attention.self.value.bias,,,
matched,encoder.layer.7.attention.self.value.weight,,,
matched,encoder.layer.7.intermediate.dense.bias,,,
matched,encoder.layer.7.intermediate.dense.weight,,,
matched,encoder.layer.7.output.LayerNorm.bias,,,
matched,encoder.layer.7.output.LayerNorm.weight,,,
matched,encoder.layer.7.output.dense.bias,,,
matched,encoder.layer.7.output.dense.weight,,,
matched,encoder.layer.8.attention.output.LayerNorm.bias,,,
matched,encoder.layer.8.attention.output.LayerNorm.weight,,,
matched,encoder.layer.8.attention.output.dense.bias,,,
matched,encoder.layer.8.attention.output.dense.weight,,,
matched,encoder.layer.8.attention.self.key.bias,,,
matched,encoder.layer.8.attention.self.key.weight,,,
matched,encoder.layer.8.attention.self.query.bias,,,
matched,encoder.layer.8.attention.self.query.weight,,,
matched,encoder.layer.8.attention.self.value.bias,,,
matched,encoder.layer.8.attention.self.value.weight,,,
matched,encoder.layer.8.intermediate.dense.bias,,,
matched,encoder.layer.8.intermediate.dense.weight,,,
matched,encoder.layer.8.output.LayerNorm.bias,,,
matched,encoder.layer.8.output.LayerNorm.weight,,,
matched,encoder.layer.8.output.dense.bias,,,
matched,encoder.layer.8.output.dense.weight,,,
matched,encoder.layer.9.attention.output.LayerNorm.bias,,,
matched,encoder.layer.9.attention.output.LayerNorm.weight,,,
matched,encoder.layer.9.attention.output.dense.bias,,,
matched,encoder.layer.9.attention.output.dense.weight,,,
matched,encoder.layer.9.attention.self.key.bias,,,
matched,encoder.layer.9.attention.self.key.weight,,,
matched,encoder.layer.9.attention.self.query.bias,,,
matched,encoder.layer.9.attention.self.query.weight,,,
matched,encoder.layer.9.attention.self.value.bias,,,
matched,encoder.layer.9.attention.self.value.weight,,,
matched,encoder.layer.9.intermediate.dense.bias,,,
matched,encoder.layer.9.intermediate.dense.weight,,,
matched,encoder.layer.9.output.LayerNorm.bias,,,
matched,encoder.layer.9.output.LayerNorm.weight,,,
matched,encoder.layer.9.output.dense.bias,,,
matched,encoder.layer.9.output.dense.weight,,,
matched,pooler.dense.bias,,,
matched,pooler.dense.weight,,,
