encoder_layer,hidden_index,attn_cos_masked
0,1,0.9999332832455178
1,2,0.9995696247752635
2,3,0.999086309903243
3,4,0.9990135555916037
4,5,0.9988280935919198
5,6,0.9977746100874796
6,7,0.9985893833147073
7,8,0.9970440743985872
8,9,0.9976341910666384
9,10,0.993361554850285
10,11,0.995819612158896
11,12,0.9939016839739271
